2026-04-22 13:51:03,257 | INFO | spnn.train | epoch=31 train_ce=1.5308 train_sparsity=17086.0571 mean_gate=0.0100 train_total=796.0325 val_loss=1.4068 val_acc=50.78 sparsity=80.36
2026-04-22 13:51:21,268 | INFO | spnn.train | epoch=32 train_ce=1.5237 train_sparsity=17056.1113 mean_gate=0.0100 train_total=794.6329 val_loss=1.3963 val_acc=51.92 sparsity=95.45
2026-04-22 13:51:39,314 | INFO | spnn.train | epoch=33 train_ce=1.5250 train_sparsity=17045.7836 mean_gate=0.0100 train_total=794.1540 val_loss=1.4085 val_acc=50.84 sparsity=96.10
2026-04-22 13:51:56,642 | INFO | spnn.train | epoch=34 train_ce=1.5284 train_sparsity=17042.9155 mean_gate=0.0100 train_total=794.0240 val_loss=1.4017 val_acc=50.96 sparsity=96.02
2026-04-22 13:52:14,004 | INFO | spnn.train | epoch=35 train_ce=1.5192 train_sparsity=17042.3154 mean_gate=0.0100 train_total=793.9868 val_loss=1.3981 val_acc=51.60 sparsity=95.64
2026-04-22 13:52:32,469 | INFO | spnn.train | epoch=36 train_ce=1.5258 train_sparsity=17042.1843 mean_gate=0.0100 train_total=793.9874 val_loss=1.4135 val_acc=50.50 sparsity=95.28
2026-04-22 13:52:49,486 | INFO | spnn.train | epoch=37 train_ce=1.5236 train_sparsity=17042.1383 mean_gate=0.0100 train_total=793.9830 val_loss=1.3860 val_acc=51.10 sparsity=94.88
2026-04-22 13:53:06,322 | INFO | spnn.train | epoch=38 train_ce=1.5187 train_sparsity=17042.1189 mean_gate=0.0100 train_total=793.9772 val_loss=1.4004 val_acc=51.12 sparsity=94.50
2026-04-22 13:53:24,569 | INFO | spnn.train | epoch=39 train_ce=1.5168 train_sparsity=17042.1104 mean_gate=0.0100 train_total=793.9750 val_loss=1.3929 val_acc=51.48 sparsity=93.90
2026-04-22 13:53:41,678 | INFO | spnn.train | epoch=40 train_ce=1.5168 train_sparsity=17042.0764 mean_gate=0.0100 train_total=793.9733 val_loss=1.3908 val_acc=51.16 sparsity=93.30
2026-04-22 13:53:58,839 | INFO | spnn.train | epoch=41 train_ce=1.5205 train_sparsity=17042.0658 mean_gate=0.0100 train_total=793.9766 val_loss=1.3866 val_acc=51.88 sparsity=92.85
2026-04-22 13:54:16,841 | INFO | spnn.train | epoch=42 train_ce=1.5208 train_sparsity=17042.0459 mean_gate=0.0100 train_total=793.9759 val_loss=1.3838 val_acc=50.82 sparsity=92.38
2026-04-22 13:54:34,494 | INFO | spnn.train | epoch=43 train_ce=1.5205 train_sparsity=17042.0288 mean_gate=0.0100 train_total=793.9749 val_loss=1.3871 val_acc=51.06 sparsity=91.82
2026-04-22 13:54:51,863 | INFO | spnn.train | epoch=44 train_ce=1.5119 train_sparsity=17042.0608 mean_gate=0.0100 train_total=793.9677 val_loss=1.3833 val_acc=52.00 sparsity=91.08
2026-04-22 13:55:09,802 | INFO | spnn.train | epoch=45 train_ce=1.5136 train_sparsity=17042.0315 mean_gate=0.0100 train_total=793.9681 val_loss=1.3865 val_acc=51.86 sparsity=90.63
2026-04-22 13:55:27,583 | INFO | spnn.train | epoch=46 train_ce=1.5160 train_sparsity=17042.0361 mean_gate=0.0100 train_total=793.9707 val_loss=1.3891 val_acc=51.40 sparsity=89.99
2026-04-22 13:55:44,851 | INFO | spnn.train | epoch=47 train_ce=1.5151 train_sparsity=17041.9929 mean_gate=0.0100 train_total=793.9678 val_loss=1.3912 val_acc=51.66 sparsity=89.37
2026-04-22 13:56:02,904 | INFO | spnn.train | epoch=48 train_ce=1.5141 train_sparsity=17042.0192 mean_gate=0.0100 train_total=793.9680 val_loss=1.3800 val_acc=52.28 sparsity=88.81
2026-04-22 13:56:21,448 | INFO | spnn.train | epoch=49 train_ce=1.5166 train_sparsity=17041.9944 mean_gate=0.0100 train_total=793.9693 val_loss=1.3869 val_acc=51.78 sparsity=88.23
2026-04-22 13:56:39,311 | INFO | spnn.train | epoch=50 train_ce=1.5163 train_sparsity=17041.9977 mean_gate=0.0100 train_total=793.9692 val_loss=1.3816 val_acc=52.82 sparsity=88.21
2026-04-22 13:56:41,587 | INFO | spnn.train | test_loss=1.3711 test_acc=52.05 sparsity=88.21 pruned=1505324/1706496
2026-04-22 13:56:42,826 | INFO | spnn.train | Final results: {'experiment_name': 'spnn_medium_lambda', 'lambda': 0.0465, 'test_acc': 52.05, 'test_loss': 1.371148091328295, 'sparsity_pct': 88.2113992649265, 'total_params': 1706496, 'pruned_params': 1505324}
